t,x,y,z,magnitude
22.249857187271118,0.30149609365912505,0.04549044534595807,0.00875034892135335,0.30503416811191975
22.299842834472656,0.34003988246133343,0.05216308239955947,0.009356020012472748,0.3441448008327519
22.34984517097473,0.3587311928316628,0.0517263197424606,0.009329190022333594,0.3625613253657921
22.39988899230957,0.3599408242216038,0.04949490441356035,0.008502604999016804,0.3634273473419471
22.449856281280518,0.37608609108741803,0.05637771300910975,0.00766545642735332,0.3803655526671558
22.499845027923584,0.3777929742542892,0.051554094133830684,0.007326864789538448,0.3813647059777636
22.549860954284668,0.35869474706595955,0.050150532311568345,0.005778234509642257,0.3622297412663609
22.59982132911682,0.34990152829799975,0.04849390404376195,0.005185901590427357,0.3532840667366519
22.649897813796997,0.3598138337597677,0.04708933350390717,0.00486251435319372,0.362914651592601
22.699918270111084,0.3420212941181884,0.045717774572323885,0.005368329506954026,0.34510505574943606
22.749932050704956,0.3617742118434447,0.05200603295110657,0.00614046960976977,0.36554468014906977
22.79985022544861,0.37218923006164667,0.048797097273885204,0.005439599792158442,0.3754138635188333
22.849869966506958,0.35695294610060085,0.04500742994111657,0.004885522236998945,0.3598123716707517
22.899873733520508,0.32563522716648713,0.040938976683238,0.004788218080317836,0.32823349618225295
22.950474739074707,0.31769577349203937,0.041185368981693886,0.004132408652700409,0.3203808919304277
22.999860048294067,0.3228076846819662,0.04191380323616337,0.004864829747779241,0.32555373559510326
23.049859285354614,0.34003954506516576,0.04394777546823734,0.004844745827223277,0.34290198415707934
23.10001564025879,0.33820479694390404,0.04071843191257737,0.0036545104558404914,0.34066674451721646
23.1498384475708,0.35052100376658124,0.04463329017668693,0.003387407076673291,0.3533674846391941
23.200047492980957,0.3618996616962005,0.04328108759135204,0.0030313672613449575,0.3644911615751304
23.249910593032837,0.3749286736275262,0.046247519425362295,0.003577921238613335,0.3777871687623668
23.299946784973145,0.39834065609333913,0.04693320303548436,0.0036551991878145573,0.40111265789693606
23.349855661392212,0.404213452563594,0.046754780737383324,0.003987356701845105,0.4069280326650517
23.39988684654236,0.39803668561430205,0.040496731705156386,0.004158777950717873,0.4001130887732386
23.449851751327515,0.4111183002348819,0.04087521373888633,0.004424248679203872,0.4131689894735489
23.499855041503906,0.397610604451576,0.041456981544880256,0.004437382361523279,0.3997906507828597
23.54988932609558,0.39393865229623715,0.04236221426840255,0.0033041222451539536,0.39622359368733784
23.599907159805298,0.42223237059373486,0.044756794962774155,0.00526106403945329,0.42463045612317085
23.650275230407715,0.4352654135032229,0.04507297139330915,0.005572606053337037,0.4376283890249573
23.69985318183899,0.4381555475381156,0.045989757252211876,0.007085500945327252,0.44061950244421716
23.74985122680664,0.43970679515277394,0.04841556188285696,0.00875144303662099,0.44245081092837824
23.799842596054077,0.44268278143132656,0.04706841378259707,0.009062228205705113,0.44527026010260073
23.84985065460205,0.4208599407554413,0.038663302334223396,0.007886820811015719,0.42270573999245176
23.900195598602295,0.43046734747727433,0.04469903126401635,0.008043830271637326,0.4328566088735401
23.950329542160034,0.43593696170210094,0.03547884069850596,0.007897359622338956,0.43744959824461327
23.999878644943237,0.4354906182822601,0.039086680297316476,0.009116761756830717,0.43733621223660474
24.049896240234375,0.4218747773009858,0.04777161858905777,0.008504223826903658,0.4246560691763075
24.099844455718994,0.4219445679139255,0.04526118148165268,0.008967784843496087,0.42445990871480854
24.149884939193726,0.441938623197567,0.04639733145965134,0.01042065721857847,0.4444896502025722
24.199875831604004,0.4433806808798413,0.04972766561267496,0.009746426709470162,0.44626702963400816
24.249864101409912,0.45332126540347834,0.05250866840282349,0.010780500249879827,0.4564795166380264
24.29981541633606,0.44129793210821916,0.05054963114828464,0.009882940254419284,0.44429359954909375
24.34986162185669,0.43394853136796235,0.049389696498018436,0.008443250634816546,0.43683172787454455
24.400047063827515,0.4427564014491013,0.04963834433770088,0.00903088288884161,0.44562176012678945
24.449855089187622,0.4304685416594349,0.05194530563250373,0.007289196806004954,0.4336526403998153
24.499841451644897,0.3926188100083759,0.04183125595400462,0.006687554054505042,0.3948975909350607
24.54984760284424,0.4030745445205918,0.04217084604556021,0.007212567440311137,0.40533873467232556
24.599887132644653,0.3767618905023187,0.03708937484505546,0.006901927584495401,0.37864598303119473
24.649842977523804,0.354223584041312,0.034686577734957445,0.007077408540160686,0.35598819626173
