t,x,y,z,vx,vy,vz,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_yaw
24.865000000000002,19.006837915522397,-0.4698422812205081,-1.361159369138477,0.9401936816502712,-0.01754921712642954,-0.08085297427669502,0.013970752798431185,19.609424395251846,-0.08609518899887525,-1.3602910412923,0.9397407940188183,-0.1101177615661447,-0.06402470813626802,0.013920006077807839
24.9,19.039712450243883,-0.4699256123919895,-1.363258129073074,0.929766146466136,-0.036690502784949786,-0.07827158005966339,0.012832462717122349,19.642389445693645,-0.08917849485542485,-1.362577757812068,0.9397040076689068,-0.10544466993773596,-0.06953356161200698,0.01276861843610767
24.935000000000002,19.072293460844435,-0.47056467268953384,-1.3661789861580473,0.9294403721141862,-0.03743164227375928,-0.0784040884254864,0.011391907749527252,19.67535388422989,-0.09203087964847202,-1.3650331119887844,0.9398169462144018,-0.09639780451046756,-0.07621579263475448,0.01133503793005988
24.965000000000003,19.100227552126512,-0.4713215390645473,-1.3674912210044567,0.9289244141691597,-0.056288383874061765,-0.08286649291221693,0.009942949621468246,19.70361830332042,-0.09423704181345795,-1.3672506027393652,0.9403822787730359,-0.08773741497213791,-0.08022126188870579,0.009880893284510637
25.0,19.13278847782442,-0.47273863317491305,-1.3694730305287521,0.9285937109380029,-0.057414466673890274,-0.0830829508113311,0.007932730742637778,19.7366130380221,-0.09642094595943626,-1.36991415294532,0.9412886310272225,-0.07365543258495455,-0.08331712682813017,0.007874968994997431
25.035000000000004,19.165172225456104,-0.47428261637719515,-1.3719641055286047,0.9167907511364319,-0.05921139051338287,-0.08294700534179356,0.005634018723301714,19.76963963456127,-0.09815332565542448,-1.3725460481238139,0.9425279400398896,-0.057943724199003496,-0.08327742749377173,0.0055838861767917945
25.065000000000005,19.19271205098869,-0.4757063037784519,-1.3738919635652564,0.9162996962113539,-0.06018855186789551,-0.08312276337210278,0.0034756834645901513,19.797979411397662,-0.0992466294438644,-1.3747226394098293,0.9436776669152592,-0.04373856121474072,-0.08203087426348175,0.003429647561727607
25.1,19.22518344387447,-0.4771412397738004,-1.376090513462259,0.9385429699032102,-0.03975464872360135,-0.0721961767440007,0.0008464018471348036,19.831078961444074,-0.10008211766216063,-1.3771354205312951,0.9449139037168235,-0.02791747065221758,-0.07953322790407255,0.00078381510383509
25.135000000000005,19.258066458404414,-0.4783191238082054,-1.3794767468134523,0.938451677262492,-0.0404403342124624,-0.07218707657648338,-0.0018622742963896326,19.864211457203115,-0.10049386714606517,-1.3794087181660895,0.9459042737710672,-0.012929940475107551,-0.07681383302181098,-0.001912470517513038
25.17,19.290703342305846,-0.4798865324144117,-1.3825511151371757,0.9271268514858093,-0.05396626741412547,-0.06928230984294714,-0.004539350271866472,19.89736969998353,-0.10050479386502152,-1.3815539790142994,0.9466092896736631,0.0013089380562546489,-0.07429171141555305,-0.0046039215688789365
25.200000000000003,19.318533847350977,-0.48147593956196033,-1.3823027170074056,0.926845892543497,-0.05478395565228311,-0.06919841342687505,-0.0068066025157880175,19.92580675768731,-0.1001895688652041,-1.3832958917659224,0.9469628650124473,0.012580862271581814,-0.07246455704967376,-0.006859644663676038
25.235,19.351586867831998,-0.48422151813315395,-1.383884660739568,0.9548605878371745,-0.09076095117325167,-0.060839589821853224,-0.009364059309325158,19.958992742085098,-0.09952609394585922,-1.3852499120619688,0.9471466473197208,0.024638928302122838,-0.0707596924574163,-0.00939878456233592
