t,navigation_valid,navigation_degraded,failsafe,dvl_ok
37.212,True,False,False,True
37.259,True,False,False,True
37.305,True,False,False,True
37.356,True,False,False,True
37.398,True,False,False,True
37.44,True,False,False,True
37.486,True,False,False,True
37.532,True,False,False,True
37.578,True,False,False,True
37.621,True,False,False,True
37.665,True,False,False,True
37.71,True,False,False,True
37.753,True,False,False,True
37.796,True,False,False,True
37.838,True,False,False,True
37.878,True,False,False,True
37.92,True,False,False,True
37.961,True,False,False,True
38.007,True,False,False,True
38.055,True,False,False,True
38.097,True,False,False,True
38.146,True,False,False,True
38.185,True,False,False,True
38.228,True,False,False,True
38.269,True,False,False,True
38.312,True,False,False,True
38.351,True,False,False,True
38.397,True,False,False,True
38.437,True,False,False,True
38.477,True,False,False,True
38.522,True,False,False,True
38.561,True,False,False,True
38.595,True,False,False,True
38.628,True,False,False,True
38.666,True,False,False,True
38.71,True,False,False,True
38.749,True,False,False,True
38.79,True,False,False,True
38.834,True,False,False,True
38.875,True,False,False,True
38.92,True,False,False,True
38.964,True,False,False,True
39.012,True,False,False,True
39.061,True,False,False,True
39.108,True,False,False,True
39.154,True,False,False,True
39.201,True,False,False,True
39.243,True,False,False,True
39.28,True,False,False,True
39.322,True,False,False,True
39.357,True,False,False,True
39.394,True,False,False,True
39.422,True,False,False,True
39.456,True,False,False,True
39.485,True,False,False,True
39.527,True,False,False,True
39.565,True,False,False,True
39.604,True,False,False,True
39.645,True,False,False,True
39.679,True,False,False,True
39.713,True,False,False,True
39.751,True,False,False,True
39.788,True,False,False,True
39.827,True,False,False,True
39.868,True,False,False,True
39.912,True,False,False,True
39.949,True,False,False,True
39.993,True,False,False,True
40.039,True,False,False,True
40.08,True,False,False,True
40.128,True,False,False,True
40.173,True,False,False,True
40.211,True,False,False,True
40.253,True,False,False,True
40.281,True,False,False,True
40.322,True,False,False,True
40.355,True,False,False,True
40.395,True,False,False,True
40.427,True,False,False,True
40.462,True,False,False,True
40.5,True,False,False,True
40.537,True,False,False,True
40.586,True,True,False,False
40.63,True,True,False,False
40.674,True,True,False,False
40.717,True,True,False,False
40.749,True,True,False,False
40.795,True,True,False,False
40.828,True,True,False,False
40.859,True,True,False,False
40.891,True,True,False,False
40.927,True,True,False,False
40.967,True,True,False,False
41.002,True,True,False,False
41.04,True,True,False,False
41.074,True,True,False,False
41.111,True,True,False,False
41.152,True,True,False,False
41.195,True,True,False,False
41.245,True,True,False,False
41.292,True,True,False,False
41.337,True,True,False,False
41.385,True,True,False,False
41.433,True,True,False,False
41.482,True,True,False,False
41.529,True,True,False,False
41.579,True,True,False,False
41.62,True,True,False,False
41.656,True,True,False,False
41.697,True,True,False,False
41.73,True,True,False,False
41.774,True,True,False,False
41.818,True,True,False,False
41.862,True,True,False,False
41.911,True,True,False,False
41.959,True,True,False,False
42.007,True,True,False,False
42.054,True,True,False,False
42.101,True,True,False,False
42.147,True,True,False,False
42.195,True,True,False,False
42.242,True,True,False,False
42.289,True,True,False,False
42.336,True,True,False,False
42.374,True,True,False,False
42.413,True,True,False,False
42.451,True,True,False,False
42.494,True,True,False,False
42.53,True,True,False,False
42.567,True,True,False,False
42.599,True,True,False,False
42.636,True,True,False,False
42.678,True,True,False,False
42.719,True,True,False,False
42.75,True,True,False,False
42.784,True,False,False,True
42.82,True,False,False,True
42.86,True,False,False,True
42.896,True,False,False,True
42.932,True,False,False,True
42.967,True,False,False,True
43.004,True,False,False,True
43.046,True,False,False,True
43.088,True,False,False,True
43.133,True,False,False,True
43.176,True,False,False,True
43.225,True,False,False,True
43.269,True,False,False,True
43.314,True,False,False,True
43.363,True,False,False,True
43.41,True,False,False,True
43.452,True,False,False,True
43.495,True,False,False,True
43.54,True,False,False,True
43.585,True,False,False,True
43.629,True,False,False,True
43.667,True,False,False,True
43.702,True,False,False,True
43.743,True,False,False,True
43.776,True,False,False,True
43.816,True,False,False,True
43.855,True,False,False,True
43.891,True,False,False,True
43.937,True,False,False,True
43.977,True,False,False,True
44.023,True,False,False,True
44.067,True,False,False,True
44.108,True,False,False,True
44.153,True,False,False,True
44.194,True,False,False,True
44.239,True,False,False,True
44.287,True,False,False,True
44.336,True,False,False,True
44.383,True,False,False,True
44.43,True,False,False,True
44.48,True,False,False,True
44.528,True,False,False,True
44.574,True,False,False,True
44.617,True,False,False,True
44.663,True,False,False,True
44.708,True,False,False,True
44.751,True,False,False,True
44.801,True,False,False,True
44.844,True,False,False,True
44.884,True,False,False,True
