t,step,x,y,z,u,yaw,pitch,ex,ey,ez,eu,throttle,pitch_fin,yaw_fin,esc_pwm,pitch_pwm,yaw_pwm,current_n,current_e,current_d,current_mode,energy_wh,reward,done,truncated,reward_progress,reward_depth,reward_cross,reward_energy,reward_fin,reward_time,reward_safety,reward_terminal
15.89999999999996,159,12.009305169481763,-0.07155203511205654,1.96117120034729,0.7315843142867677,0.028218489044109063,0.0072814653437558744,11.979969584056782,-0.050076984064670635,1.9479281173526346,0.7961103153445541,0.4987116316532943,-0.044477665787607666,0.006852011513256111,1498.7116316532943,1415.0539155925555,1513.0863780294874,0.04450260615591528,-0.008744809709796375,0.001988908938485685,calm,1.8351938146596636,1.1198870612349154,False,False,1.3188166035955327,-0.08678026735018507,-0.06081922984524806,-0.027203016262875586,-0.006127028902308245,-0.018,0.0,0.0
15.99999999999996,160,12.086728357458865,-0.07043057029798676,1.962034094142754,0.7300322870477285,0.027345030051273866,0.008627121059330091,12.059585769727304,-0.051170729570899964,1.9696726971444252,0.77994984954814,0.5216754322299005,-0.06589134024792366,-0.014532952600571719,1521.6754322299005,1374.156809911116,1472.2441050707855,0.044502623265860485,-0.008744795451508709,0.0019889127406957294,calm,1.8443429983912414,1.1141401187112887,False,False,1.3161941956107324,-0.08482226189274614,-0.05986598475328874,-0.02976588743977773,-0.009599942813631156,-0.018,0.0,0.0
16.09999999999996,161,12.164279736582913,-0.06938737388948082,1.9628625731346088,0.731322090096576,0.026262180738680918,0.008008758828282624,12.137556797108585,-0.04778146323978853,1.9573755705108962,0.7948605712069922,0.490387601141998,0.0657256253503742,-0.03169873349544918,1490.387601141998,1625.5266979478165,1439.4598784933596,0.04447090002802423,-0.008771231483038924,0.0019818631322876725,calm,1.854513138440994,1.1205188924268967,False,False,1.318373445108806,-0.08294360873062477,-0.0589792678060587,-0.026302499929322234,-0.011629176215903557,-0.018,0.0,0.0
16.19999999999996,162,12.241575851879384,-0.06847531225862676,1.9637808574998188,0.7288101478254844,0.024625584874821804,0.009181967783132697,12.216953701747613,-0.04689138513472546,1.9490049708767023,0.765245852456638,0.5413239845333325,0.012372163314429157,0.018474533100600724,1541.3239845333324,1523.6290913787793,1535.2837591713053,0.04440749239397246,-0.00882407117808207,0.0019677725469428335,calm,1.8633074897458854,1.1212347969050303,False,False,1.3140339600400157,-0.08086275715550226,-0.05820401541983274,-0.0320503374002704,-0.0036820531593802896,-0.018,0.0,0.0
16.29999999999996,163,12.319234323937163,-0.067638667000748,1.9648046424395242,0.7325224913638719,0.02357930978456091,0.010486091592221225,12.293573146986821,-0.04765862079289366,1.9617290141238783,0.782576197849028,0.49867514845173794,-0.052780640814453814,-0.0019331130372721597,1498.6751484517379,1399.196401377862,1496.3080260547529,0.04431251219833049,-0.008903221341117038,0.0019466658368001754,calm,1.8744007860698413,1.1324265198983041,False,False,1.3201940249822446,-0.07854462850747544,-0.057492866950635796,-0.027199036340367813,-0.006530973285461563,-0.018,0.0,0.0
16.399999999999963,164,12.396718378086277,-0.06688686940738861,1.9658106299340588,0.7308862973708284,0.02261493322464947,0.010171430120812446,12.371898114105885,-0.04609566707476163,1.9558780074600408,0.8085593999287544,0.4715944959348154,-0.010952878045505078,-0.007648465222645265,1471.5944959348153,1479.081543815702,1485.3925074329945,0.04418612696153576,-0.00900854237177931,0.0019185802286235693,calm,1.8835483970060902,1.139560924183482,False,False,1.3172289205349337,-0.07626863586802604,-0.05685383899628032,-0.024325149690188876,-0.0022203717969564584,-0.018,0.0,0.0
16.499999999999964,165,12.47371960831031,-0.06623249191133816,1.9667720985406079,0.7261938623725749,0.021599911096520596,0.009566276673330555,12.452551959491778,-0.044978518375424076,1.9659651457559142,0.7661707510710298,0.5473022495477677,-0.03547234998556492,0.00584342771187185,1547.3022495477676,1432.2528018805394,1511.160124859335,0.04402855959437522,-0.009139848511079766,0.0018835652581434478,calm,1.8915711337194254,1.1229343602808473,False,False,1.309020913808558,-0.07409506730251829,-0.05629761812463743,-0.03276216041438014,-0.004931707686174711,-0.018,0.0,0.0
16.599999999999966,166,12.551168137869647,-0.0656400070223608,1.9676293858918537,0.7308342674892889,0.020830295275316324,0.00806262330461326,12.529137132086829,-0.04372788126592982,1.951329324947361,0.7611179614519372,0.5290306059548212,0.09630416590325895,0.022443017673444532,1529.030605954821,1683.9274085261475,1542.8630064075296,0.043840088004828436,-0.009296908169035419,0.001841682682688607,calm,1.902954482111913,1.125887022416196,False,False,1.316625002508733,-0.07215842202988663,-0.055794005969006674,-0.030611151160288706,-0.014174400933354817,-0.018,0.0,0.0
16.699999999999967,167,12.628803060994487,-0.06507582411451893,1.9685746522177079,0.7329237220499366,0.020634019000993042,0.009280160519229787,12.605281141240736,-0.04398107722809168,1.9804839623306927,0.765424390510377,0.5198187102342566,-0.20943951023931956,0.010706223262639952,1519.8187102342567,1100.0,1520.447380249135,0.04362104460791007,-0.009479444333134057,0.0017930063722623036,calm,1.9134648012921405,1.1206223371195534,False,False,1.3197936931222856,-0.07002456235595686,-0.055314450497341086,-0.029554381883863168,-0.026277961265570943,-0.018,0.0,0.0
16.79999999999997,168,12.706498116896475,-0.06452646680546432,1.9691861638045511,0.7337483119553816,0.02069108712718659,0.004744206514350349,12.681775609144054,-0.043432429458513104,1.9516743963330547,0.7609935025757284,0.5286825065056129,0.18563488336933726,-0.021168784109856134,1528.6825065056128,1854.53651158221,1459.5706004360547,0.0433718157393759,-0.009687135056912526,0.0017376221792547112,calm,1.923550082497786,1.1240672207716178,False,False,1.3208159503337846,-0.06864498288095947,-0.05484749678464467,-0.030570880449928155,-0.0246853694466347,-0.018,0.0,0.0
