t,state,actuator_command,fired
2.554999999999998,IDLE,False,False
2.575000000000001,IDLE,False,False
2.5950000000000006,IDLE,False,False
2.615,IDLE,False,False
2.635,IDLE,False,False
2.6549999999999994,IDLE,False,False
2.674999999999999,IDLE,False,False
2.6949999999999985,IDLE,False,False
2.714999999999998,IDLE,False,False
2.735000000000001,IDLE,False,False
2.755000000000001,IDLE,False,False
2.7750000000000004,IDLE,False,False
2.795,IDLE,False,False
2.8149999999999995,IDLE,False,False
2.834999999999999,IDLE,False,False
2.8549999999999986,IDLE,False,False
2.8749999999999982,IDLE,False,False
2.8950000000000014,IDLE,False,False
2.915000000000001,IDLE,False,False
2.9350000000000005,IDLE,False,False
2.955,IDLE,False,False
2.9749999999999996,IDLE,False,False
2.994999999999999,IDLE,False,False
3.014999999999999,IDLE,False,False
3.0349999999999984,IDLE,False,False
3.054999999999998,IDLE,False,False
3.075000000000001,IDLE,False,False
3.0950000000000006,IDLE,False,False
3.115,IDLE,False,False
3.135,IDLE,False,False
3.1549999999999994,IDLE,False,False
3.174999999999999,IDLE,False,False
3.1949999999999985,IDLE,False,False
3.214999999999998,IDLE,False,False
3.235000000000001,IDLE,False,False
3.255000000000001,IDLE,False,False
3.2750000000000004,IDLE,False,False
3.295,IDLE,False,False
3.3149999999999995,IDLE,False,False
3.334999999999999,IDLE,False,False
3.3549999999999986,IDLE,False,False
3.3749999999999982,IDLE,False,False
3.3950000000000014,IDLE,False,False
3.415000000000001,IDLE,False,False
3.4350000000000005,IDLE,False,False
3.455,IDLE,False,False
3.4749999999999996,IDLE,False,False
3.494999999999999,IDLE,False,False
3.514999999999999,IDLE,False,False
3.5349999999999984,IDLE,False,False
3.554999999999998,IDLE,False,False
3.575000000000001,IDLE,False,False
3.5950000000000006,IDLE,False,False
3.615,IDLE,False,False
3.635,IDLE,False,False
3.6549999999999994,IDLE,False,False
3.674999999999999,IDLE,False,False
3.6949999999999985,IDLE,False,False
