t,stage_name,stage
36.579,OUTBOUND_CRUISE_50M,1
36.629000000000005,OUTBOUND_CRUISE_50M,1
36.679,OUTBOUND_CRUISE_50M,1
36.729,OUTBOUND_CRUISE_50M,1
36.779,OUTBOUND_CRUISE_50M,1
36.829,OUTBOUND_CRUISE_50M,1
36.879000000000005,OUTBOUND_CRUISE_50M,1
36.929,OUTBOUND_CRUISE_50M,1
36.979,OUTBOUND_CRUISE_50M,1
37.029,OUTBOUND_CRUISE_50M,1
37.079,OUTBOUND_CRUISE_50M,1
37.129000000000005,OUTBOUND_CRUISE_50M,1
37.18,OUTBOUND_CRUISE_50M,1
37.229,OUTBOUND_CRUISE_50M,1
37.279,OUTBOUND_CRUISE_50M,1
37.329,OUTBOUND_CRUISE_50M,1
37.379000000000005,OUTBOUND_CRUISE_50M,1
37.429,OUTBOUND_CRUISE_50M,1
37.479,OUTBOUND_CRUISE_50M,1
37.529,OUTBOUND_CRUISE_50M,1
37.579,OUTBOUND_CRUISE_50M,1
37.629000000000005,OUTBOUND_CRUISE_50M,1
37.679,OUTBOUND_CRUISE_50M,1
37.729,OUTBOUND_CRUISE_50M,1
37.779,OUTBOUND_CRUISE_50M,1
37.829,OUTBOUND_CRUISE_50M,1
37.879000000000005,OUTBOUND_CRUISE_50M,1
37.929,OUTBOUND_CRUISE_50M,1
37.979,OUTBOUND_CRUISE_50M,1
38.029,OUTBOUND_CRUISE_50M,1
38.079,OUTBOUND_CRUISE_50M,1
38.129000000000005,OUTBOUND_CRUISE_50M,1
38.179,OUTBOUND_CRUISE_50M,1
38.229,OUTBOUND_CRUISE_50M,1
38.279,OUTBOUND_CRUISE_50M,1
38.329,OUTBOUND_CRUISE_50M,1
38.379000000000005,OUTBOUND_CRUISE_50M,1
38.429,OUTBOUND_CRUISE_50M,1
38.480000000000004,OUTBOUND_CRUISE_50M,1
38.529,OUTBOUND_CRUISE_50M,1
38.579,OUTBOUND_CRUISE_50M,1
38.629000000000005,OUTBOUND_CRUISE_50M,1
38.679,OUTBOUND_CRUISE_50M,1
38.729,OUTBOUND_CRUISE_50M,1
38.779,OUTBOUND_CRUISE_50M,1
38.829,OUTBOUND_CRUISE_50M,1
38.879000000000005,OUTBOUND_CRUISE_50M,1
38.929,OUTBOUND_CRUISE_50M,1
38.979,OUTBOUND_CRUISE_50M,1
39.029,OUTBOUND_CRUISE_50M,1
39.079,OUTBOUND_CRUISE_50M,1
