t,signal,value
0.3144502639770508,imu_accel_x_mps2,0.057
0.3144502639770508,imu_accel_y_mps2,-0.026000000000000002
0.3144502639770508,imu_accel_z_mps2,9.772
0.3144502639770508,imu_gyro_x_radps,0.0085
0.3144502639770508,imu_gyro_y_radps,-0.01575
0.3144502639770508,imu_gyro_z_radps,-0.0015
0.3202221393585205,imu_accel_x_mps2,0.045
0.3202221393585205,imu_accel_y_mps2,-0.009000000000000001
0.3202221393585205,imu_accel_z_mps2,9.808
0.3202221393585205,imu_gyro_x_radps,0.0095
0.3202221393585205,imu_gyro_y_radps,-0.01675
0.3202221393585205,imu_gyro_z_radps,-0.00175
0.32720184326171875,imu_accel_x_mps2,0.014
0.32720184326171875,imu_accel_y_mps2,-0.025
0.32720184326171875,imu_accel_z_mps2,9.718
0.32720184326171875,imu_gyro_x_radps,0.01
0.32720184326171875,imu_gyro_y_radps,-0.01725
0.32720184326171875,imu_gyro_z_radps,-0.0025
0.3319814205169678,imu_accel_x_mps2,0.018000000000000002
0.3319814205169678,imu_accel_y_mps2,-0.012
0.3319814205169678,imu_accel_z_mps2,9.718
0.3319814205169678,imu_gyro_x_radps,0.00775
0.3319814205169678,imu_gyro_y_radps,-0.01725
0.3319814205169678,imu_gyro_z_radps,-0.002
0.33905720710754395,imu_accel_x_mps2,0.067
0.33905720710754395,imu_accel_y_mps2,0.10200000000000001
0.33905720710754395,imu_accel_z_mps2,9.705
0.33905720710754395,imu_gyro_x_radps,0.01
0.33905720710754395,imu_gyro_y_radps,-0.016
0.33905720710754395,imu_gyro_z_radps,-0.0022500000000000003
0.34440183639526367,imu_accel_x_mps2,0.11900000000000001
0.34440183639526367,imu_accel_y_mps2,0.0
0.34440183639526367,imu_accel_z_mps2,9.822000000000001
0.34440183639526367,imu_gyro_x_radps,0.00925
0.34440183639526367,imu_gyro_y_radps,-0.01675
0.34440183639526367,imu_gyro_z_radps,-0.00275
0.34940528869628906,imu_accel_x_mps2,0.115
